channel_name,channel_id,channel_url,channel_description,channel_join_date,subscriber_count,video_id,video_url,title,description,published_at,tags,view_count,like_count,dislike_count,comment_count,duration_seconds,views_per_sub,like_per_view,dislike_per_view,comment_per_view,video_count,avg_views_per_sub,avg_like_per_view,avg_dislike_per_view,avg_comment_per_view
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,bUmlEHAY0ZM,https://www.youtube.com/watch?v=bUmlEHAY0ZM,Bende Son Durum: Notlar Kimde?,Kimsede olmayan o notlara ulaşmak için iki Coca-Cola ve bir gülümseme bazen yeterli olabilir... #TadınıÇıkar,2018-04-02T14:02:54Z,,4222304,100.0,,7,13,0.9178921739130435,2.3683751809438638e-05,,1.6578626266607048e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,GqTInHO_Fj8,https://www.youtube.com/watch?v=GqTInHO_Fj8,All New Coca-Cola Spiced | Monolith,The all-new Coca-Cola Spiced could taste like playing your favorite instrument while ascending to the highest peaks. You’ll never know unless you try.,2024-02-21T20:29:43Z,"Coca-Cola,Coca Cola,Coke",2509088,122.0,,14,16,0.5454539130434782,4.862324478057366e-05,,5.57971661416419e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,0_5Dt4yMUCs,https://www.youtube.com/watch?v=0_5Dt4yMUCs,Coca-Cola Dashain Dhamaka Offer - 2L Pack,"Coca-Cola’s Dashain Dhamaka Offer is here! This offer is valid till stock lasts, Hurry and grab this offer this festive season. 
#DashainDhamakaOffer #CocaCola #CocaColaNepal #RealMagic",2024-09-03T12:25:31Z,"2L Pack,Coca-Cola Nepal,Dashan Dhamaka Offer",6296335,623.0,,39,11,1.3687684782608696,9.894645059387723e-05,,6.194079571687339e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,pvMRdKdncQY,https://www.youtube.com/watch?v=pvMRdKdncQY,喝Coke 互動歌手瓶，抽演唱會門票 !,"打開「可口可樂」互動歌手瓶，演唱會門票天天抽！
即日起至 8月31日止，輸入 Coke 指定包裝瓶蓋或罐底序號，就有機會獲得林宥嘉 Yoga Lin 、 Bii 畢書盡 、 八三夭 831 演唱會門票，還有 Coke 藍芽耳機等你拿！

詳情請見→http://bit.ly/2yLWmEH",2018-06-26T10:16:41Z,,2892029,112.0,,6,16,0.6287019565217391,3.8727135862053945e-05,,2.0746679926100324e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,3Vl704ZZMOE,https://www.youtube.com/watch?v=3Vl704ZZMOE,Coca-Cola® Obra de Arte,A Magia Acontece quando você precisa de um pouco de inspiração,2023-03-07T14:01:37Z,,20018871,493.0,,9,15,4.351928478260869,2.4626763417377533e-05,,4.49575802751314e-07,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,IiJ_rVJoTNI,https://www.youtube.com/watch?v=IiJ_rVJoTNI,Uống Coca-Cola ăn càng đãaaa!,"Vạn món ngon hoá thành “cực phẩm” cùng Coca-Cola, cho những giây phút rôm rả cùng người thân yêu. Uống Coca-Cola, ăn càng đãaaaaaaa!
#CocaCola",2020-03-06T12:53:37Z,,5448149,1078.0,,37,15,1.1843802173913043,0.0001978653667511663,,6.791297374576209e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,nrIkgk1SYBM,https://www.youtube.com/watch?v=nrIkgk1SYBM,ফান কিংবা আড্ডায় সবখানে কোকা-কোলা সবার হাতে।,বেস্ট ম্যাজিক্যাল কম্বো’তে মুহূর্তগুলো জমবে সেরা স্বাদে। ফান কিংবা আড্ডায় সবখানে কোকা-কোলা সবার হাতে।,2022-10-19T03:08:56Z,,7096361,464.0,,14,11,1.5426871739130434,6.538562511123659e-05,,1.972842136976966e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,lPbPXto20Po,https://www.youtube.com/watch?v=lPbPXto20Po,Coca-Cola | O sabor que quebra recordes,"Não tem desafio que resista ao sabor de Coca-Cola. Lets Play para avançar. 
Coca-Cola. A Magia Acontece.",2022-03-04T15:07:57Z,"cocacola,game",5950350,163.0,,6,16,1.293554347826087,2.7393346609863285e-05,,1.0083440469888327e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,Ndoi07Ch1ak,https://www.youtube.com/watch?v=Ndoi07Ch1ak,BENDE SON DURUM: Tatildeyim,Sen kendini nereye ait hissediyorsan Coca-Cola yanında. #TadınıÇıkar,2018-08-09T15:59:28Z,,3840060,121.0,,9,15,0.834795652173913,3.1509924324099106e-05,,2.3437133794784458e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
Coca-Cola,UCosXctaTYxN4YPIvI5Fpcrw,https://www.youtube.com/@Coca-Cola,"Welcome to Coca-Cola's YouTube channel! Our channel is dedicated to the Real Magic that Coca-Cola inspires around the world. Check out our videos for new and original content featuring music, culture, entertainment, sports, and more. Join the fun through magical experiences on stage, on the field, in game, or behind the scenes.

Experience the #RealMagic of Coca-Cola and keep up with with us by subscribing to the channel for the latest updates.

Discover more at https://www.coca-cola.com

",2006-01-01T20:14:52Z,4600000,roOyHc5hkDo,https://www.youtube.com/watch?v=roOyHc5hkDo,Real Magic Starts with a Cold Coca-Cola | Get Refreshed with Coke | Coca-Cola,"Get refreshed and feel the energy with chilled coke. Coca-Cola is the best refreshment for every moment. Drink the cold coke to feel the energy. Real Magic Starts with a Cold Coca-Cola. Energy starts with a cold one. Enter the world of music with Coca-Cola and turn it up!

#CocaColeEnergy #StartYourDay #Colddrink

Facebook: https://www.facebook.com/TheCocaColaCo
Instagram: https://www.instagram.com/TheCocaColaCo/
Twitter: https://twitter.com/CocaColaCo
Website: https://www.coca-colacompany.com/
LinkedIn: https://www.linkedin.com/company/the-coca-cola-company/",2022-02-18T12:00:35Z,"RealMagic,CokeMusic,CocaCola,Coke",6636857,6819.0,,13,21,1.442795,0.0010274441652125396,,1.9587584906530304e-06,373,1.455784881105024,0.0003802878033762919,,1.6250172324749507e-05
